interview__key,interview__id,ip1,localite,structure,code_ppsp,intitule_ppsp,code_agent,code_interaction,qu1,qu2,qu3,qu4,qu5,qu6,qu7,qu8,qu9,qu10
00000000018,00000000000000000000000018,IP18,Localite8,Structure19,816,PPSP_816,15,18,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui
00000000019,00000000000000000000000019,IP19,Localite7,Structure1,980,PPSP_980,14,19,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui
00000000020,00000000000000000000000020,IP20,Localite7,Structure9,153,PPSP_153,12,20,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Non
00000000021,00000000000000000000000021,IP21,Localite10,Structure6,851,PPSP_851,13,21,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non
00000000022,00000000000000000000000022,IP22,Localite5,Structure13,286,PPSP_286,19,22,Oui,Oui,Pas applicable,Non,Non,Oui,Oui,Non,Oui,Oui
00000000023,00000000000000000000000023,IP23,Localite1,Structure9,619,PPSP_619,15,23,Oui,Oui,Pas applicable,Oui,Oui,Oui,Oui,Non,Oui,Non
00000000024,00000000000000000000000024,IP24,Localite4,Structure15,701,PPSP_701,21,24,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Non
00000000025,00000000000000000000000025,IP25,Localite10,Structure20,849,PPSP_849,9,25,Oui,Non,Non,Non,Non,Oui,Oui,Non,Oui,Non
00000000026,00000000000000000000000026,IP26,Localite8,Structure18,97,PPSP_97,5,26,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non
00000000027,00000000000000000000000027,IP27,Localite1,Structure6,805,PPSP_805,1,27,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui
00000000028,00000000000000000000000028,IP28,Localite8,Structure5,426,PPSP_426,12,28,Oui,Oui,Non,Non,Oui,Parfois,Non,Non,Oui,Oui
00000000029,00000000000000000000000029,IP29,Localite5,Structure13,957,PPSP_957,5,29,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,Non
00000000030,00000000000000000000000030,IP30,Localite8,Structure5,754,PPSP_754,23,30,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Oui
00000000031,00000000000000000000000031,IP31,Localite9,Structure13,966,PPSP_966,12,31,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non
00000000032,00000000000000000000000032,IP32,Localite2,Structure9,118,PPSP_118,22,32,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,Oui
00000000033,00000000000000000000000033,IP33,Localite5,Structure13,823,PPSP_823,19,33,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui
00000000034,00000000000000000000000034,IP34,Localite9,Structure17,301,PPSP_301,19,34,Oui,Non,Oui,Oui,Non,Parfois,Non,Non,Non,Oui
00000000035,00000000000000000000000035,IP35,Localite8,Structure12,94,PPSP_94,3,35,Oui,Oui,Non,Non,Oui,Parfois,Oui,Non,Non,Non
00000000036,00000000000000000000000036,IP36,Localite3,Structure8,215,PPSP_215,17,36,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Oui,Oui
00000000037,00000000000000000000000037,IP37,Localite2,Structure14,7,PPSP_7,13,37,Oui,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Oui
00000000038,00000000000000000000000038,IP38,Localite8,Structure19,707,PPSP_707,9,38,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non
00000000039,00000000000000000000000039,IP39,Localite10,Structure11,431,PPSP_431,17,39,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Oui
00000000040,00000000000000000000000040,IP40,Localite8,Structure19,448,PPSP_448,6,40,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui
00000000041,00000000000000000000000041,IP41,Localite10,Structure19,299,PPSP_299,1,41,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Non
00000000042,00000000000000000000000042,IP42,Localite3,Structure14,135,PPSP_135,23,42,Oui,Oui,Non,Non,Oui,Oui,Oui,Non,Oui,Non
00000000043,00000000000000000000000043,IP43,Localite9,Structure20,440,PPSP_440,19,43,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non
00000000044,00000000000000000000000044,IP44,Localite9,Structure14,3,PPSP_3,23,44,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non
00000000045,00000000000000000000000045,IP45,Localite8,Structure9,649,PPSP_649,22,45,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Non
00000000046,00000000000000000000000046,IP46,Localite10,Structure13,532,PPSP_532,8,46,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non
00000000047,00000000000000000000000047,IP47,Localite7,Structure6,72,PPSP_72,11,47,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui
00000000048,00000000000000000000000048,IP48,Localite3,Structure20,562,PPSP_562,19,48,Oui,Non,Oui,Oui,Oui,Parfois,Non,Non,Oui,Non
00000000049,00000000000000000000000049,IP49,Localite9,Structure7,650,PPSP_650,7,49,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Non
00000000050,00000000000000000000000050,IP50,Localite1,Structure6,187,PPSP_187,12,50,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non
00000000051,00000000000000000000000051,IP51,Localite9,Structure9,864,PPSP_864,16,51,Oui,Oui,Non,Non,Non,Parfois,Oui,Non,Oui,Oui
00000000052,00000000000000000000000052,IP52,Localite4,Structure11,327,PPSP_327,25,52,Oui,Non,Oui,Oui,Oui,Parfois,Oui,Non,Non,Oui
00000000053,00000000000000000000000053,IP53,Localite8,Structure4,489,PPSP_489,22,53,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non
00000000054,00000000000000000000000054,IP54,Localite6,Structure6,286,PPSP_286,16,54,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,Oui
00000000055,00000000000000000000000055,IP55,Localite4,Structure8,199,PPSP_199,12,55,Oui,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Oui
00000000056,00000000000000000000000056,IP56,Localite2,Structure14,280,PPSP_280,5,56,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui
00000000057,00000000000000000000000057,IP57,Localite9,Structure7,209,PPSP_209,2,57,Oui,Non,Non,Non,Oui,Oui,Non,Non,Oui,Oui
00000000058,00000000000000000000000058,IP58,Localite4,Structure13,631,PPSP_631,11,58,Oui,Non,Oui,Non,Non,Parfois,Oui,Non,Non,Oui
00000000059,00000000000000000000000059,IP59,Localite3,Structure11,703,PPSP_703,24,59,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non
00000000060,00000000000000000000000060,IP60,Localite8,Structure5,428,PPSP_428,18,60,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non
00000000061,00000000000000000000000061,IP61,Localite7,Structure10,427,PPSP_427,12,61,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Non
00000000062,00000000000000000000000062,IP62,Localite10,Structure18,946,PPSP_946,8,62,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,Oui
00000000063,00000000000000000000000063,IP63,Localite7,Structure14,653,PPSP_653,13,63,Non,Oui,Oui,Oui,Oui,Parfois,Oui,Oui,Oui,Oui
00000000064,00000000000000000000000064,IP64,Localite4,Structure11,929,PPSP_929,22,64,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui
00000000065,00000000000000000000000065,IP65,Localite8,Structure7,36,PPSP_36,1,65,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Oui,Non
00000000066,00000000000000000000000066,IP66,Localite2,Structure13,162,PPSP_162,9,66,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non
00000000067,00000000000000000000000067,IP67,Localite4,Structure4,60,PPSP_60,19,67,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Oui
00000000068,00000000000000000000000068,IP68,Localite2,Structure10,512,PPSP_512,23,68,Oui,Oui,Non,Oui,Non,Parfois,Oui,Oui,Non,Non
00000000069,00000000000000000000000069,IP69,Localite7,Structure2,493,PPSP_493,12,69,Oui,Non,Oui,Oui,Non,Parfois,Oui,Non,Oui,Non
00000000070,00000000000000000000000070,IP70,Localite3,Structure17,963,PPSP_963,3,70,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non
00000000071,00000000000000000000000071,IP71,Localite9,Structure16,877,PPSP_877,12,71,Oui,Non,Oui,Non,Non,Parfois,Oui,Non,Oui,Non
00000000072,00000000000000000000000072,IP72,Localite6,Structure15,583,PPSP_583,24,72,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Oui,Non
00000000073,00000000000000000000000073,IP73,Localite2,Structure16,310,PPSP_310,16,73,Oui,Oui,Oui,Oui,Non,Parfois,Oui,Non,Oui,Non
00000000074,00000000000000000000000074,IP74,Localite5,Structure19,880,PPSP_880,16,74,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Oui,Non
00000000075,00000000000000000000000075,IP75,Localite1,Structure10,634,PPSP_634,23,75,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Oui
00000000076,00000000000000000000000076,IP76,Localite7,Structure2,852,PPSP_852,6,76,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non
00000000077,00000000000000000000000077,IP77,Localite4,Structure2,767,PPSP_767,11,77,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Non,Oui
00000000078,00000000000000000000000078,IP78,Localite1,Structure17,777,PPSP_777,8,78,Oui,Oui,Oui,Non,Oui,Parfois,Oui,Non,Non,Oui
00000000079,00000000000000000000000079,IP79,Localite2,Structure15,565,PPSP_565,3,79,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Oui
00000000080,00000000000000000000000080,IP80,Localite3,Structure6,63,PPSP_63,7,80,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui
00000000081,00000000000000000000000081,IP81,Localite4,Structure19,545,PPSP_545,18,81,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Oui,Non
00000000082,00000000000000000000000082,IP82,Localite5,Structure11,263,PPSP_263,2,82,Oui,Oui,Non,Non,Non,Parfois,Oui,Non,Oui,Non
00000000083,00000000000000000000000083,IP83,Localite1,Structure3,233,PPSP_233,6,83,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Non,Oui
00000000084,00000000000000000000000084,IP84,Localite1,Structure15,956,PPSP_956,3,84,Oui,Oui,Oui,Non,Oui,Parfois,Oui,Non,Oui,Non
00000000085,00000000000000000000000085,IP85,Localite1,Structure1,425,PPSP_425,18,85,Oui,Oui,Oui,Oui,Non,Parfois,Oui,Non,Oui,Oui
00000000086,00000000000000000000000086,IP86,Localite4,Structure1,681,PPSP_681,12,86,Oui,Non,Non,Oui,Oui,Parfois,Oui,Oui,Non,Non
00000000087,00000000000000000000000087,IP87,Localite1,Structure5,230,PPSP_230,25,87,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui
00000000088,00000000000000000000000088,IP88,Localite3,Structure9,111,PPSP_111,6,88,Oui,Oui,Non,Oui,Oui,Parfois,Oui,Non,Non,Oui
00000000089,00000000000000000000000089,IP89,Localite9,Structure3,658,PPSP_658,10,89,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Oui
00000000090,00000000000000000000000090,IP90,Localite10,Structure6,588,PPSP_588,24,90,Oui,Non,Pas applicable,Non,Non,Non,Oui,Non,Non,Non
00000000091,00000000000000000000000091,IP91,Localite1,Structure19,122,PPSP_122,11,91,Oui,Non,Oui,Oui,Oui,Parfois,Non,Non,Oui,Non
00000000092,00000000000000000000000092,IP92,Localite10,Structure7,147,PPSP_147,1,92,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui
00000000093,00000000000000000000000093,IP93,Localite9,Structure16,866,PPSP_866,24,93,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui
00000000094,00000000000000000000000094,IP94,Localite10,Structure5,346,PPSP_346,20,94,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Oui,Non
00000000095,00000000000000000000000095,IP95,Localite3,Structure2,34,PPSP_34,21,95,Non,Oui,Oui,Non,Non,Parfois,Oui,Non,Oui,Oui
00000000096,00000000000000000000000096,IP96,Localite7,Structure15,747,PPSP_747,18,96,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Oui
00000000097,00000000000000000000000097,IP97,Localite5,Structure5,520,PPSP_520,7,97,Oui,Oui,Oui,Oui,Oui,Parfois,Oui,Non,Oui,Non
00000000098,00000000000000000000000098,IP98,Localite5,Structure2,493,PPSP_493,25,98,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui
00000000099,00000000000000000000000099,IP99,Localite6,Structure13,877,PPSP_877,7,99,Non,Oui,Non,Oui,Non,Oui,Non,Non,Oui,Oui
00000000100,00000000000000000000000100,IP100,Localite4,Structure3,171,PPSP_171,1,100,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
00000000101,00000000000000000000000101,IP101,Localite7,Structure11,349,PPSP_349,2,101,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
00000000102,00000000000000000000000102,IP102,Localite10,Structure8,473,PPSP_473,24,102,Oui,Oui,Oui,Oui,Non,Parfois,Oui,Non,Oui,Non
00000000103,00000000000000000000000103,IP103,Localite7,Structure8,777,PPSP_777,13,103,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui
00000000104,00000000000000000000000104,IP104,Localite6,Structure6,833,PPSP_833,9,104,Oui,Oui,Oui,Non,Oui,Parfois,Oui,Non,Oui,Oui
00000000105,00000000000000000000000105,IP105,Localite8,Structure14,180,PPSP_180,18,105,Oui,Oui,Non,Oui,Oui,Parfois,Oui,Non,Non,Non
00000000106,00000000000000000000000106,IP106,Localite8,Structure18,734,PPSP_734,21,106,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Oui
00000000107,00000000000000000000000107,IP107,Localite7,Structure7,923,PPSP_923,8,107,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Oui
00000000108,00000000000000000000000108,IP108,Localite1,Structure5,424,PPSP_424,20,108,Oui,Oui,Non,Non,Oui,Oui,Oui,Non,Oui,Non
00000000109,00000000000000000000000109,IP109,Localite7,Structure9,594,PPSP_594,12,109,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Non
00000000110,00000000000000000000000110,IP110,Localite9,Structure3,902,PPSP_902,15,110,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Oui
00000000111,00000000000000000000000111,IP111,Localite6,Structure14,231,PPSP_231,11,111,Oui,Oui,Oui,Non,Oui,Parfois,Non,Non,Oui,Oui
00000000112,00000000000000000000000112,IP112,Localite9,Structure4,99,PPSP_99,4,112,Oui,Non,Pas applicable,Oui,Oui,Oui,Oui,Non,Non,Oui
00000000113,00000000000000000000000113,IP113,Localite10,Structure4,934,PPSP_934,16,113,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Oui,Oui
00000000114,00000000000000000000000114,IP114,Localite2,Structure4,296,PPSP_296,6,114,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Oui
00000000115,00000000000000000000000115,IP115,Localite6,Structure6,301,PPSP_301,24,115,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non
00000000116,00000000000000000000000116,IP116,Localite6,Structure17,797,PPSP_797,3,116,Oui,Oui,Oui,Oui,Oui,Parfois,Oui,Non,Non,Non
00000000117,00000000000000000000000117,IP117,Localite8,Structure5,80,PPSP_80,23,117,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui
00000000118,00000000000000000000000118,IP118,Localite2,Structure20,58,PPSP_58,12,118,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui
00000000119,00000000000000000000000119,IP119,Localite3,Structure19,292,PPSP_292,6,119,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Non
00000000120,00000000000000000000000120,IP120,Localite5,Structure4,232,PPSP_232,9,120,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non
00000000121,00000000000000000000000121,IP121,Localite2,Structure6,194,PPSP_194,13,121,Oui,Oui,Oui,Non,Oui,Parfois,Non,Non,Non,Oui
00000000122,00000000000000000000000122,IP122,Localite4,Structure14,123,PPSP_123,3,122,Oui,Oui,Non,Oui,Oui,Parfois,Oui,Non,Non,Oui
00000000123,00000000000000000000000123,IP123,Localite5,Structure7,359,PPSP_359,20,123,Non,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non
00000000124,00000000000000000000000124,IP124,Localite6,Structure14,105,PPSP_105,10,124,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui
00000000125,00000000000000000000000125,IP125,Localite1,Structure20,580,PPSP_580,9,125,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non
00000000126,00000000000000000000000126,IP126,Localite1,Structure8,324,PPSP_324,24,126,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Non
00000000127,00000000000000000000000127,IP127,Localite7,Structure11,433,PPSP_433,10,127,Oui,Oui,Non,Non,Oui,Oui,Oui,Non,Oui,Non
00000000128,00000000000000000000000128,IP128,Localite1,Structure19,219,PPSP_219,2,128,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non
00000000129,00000000000000000000000129,IP129,Localite2,Structure7,83,PPSP_83,21,129,Oui,Non,Oui,Oui,Non,Parfois,Oui,Non,Oui,Oui
00000000130,00000000000000000000000130,IP130,Localite9,Structure1,188,PPSP_188,24,130,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Oui
00000000131,00000000000000000000000131,IP131,Localite3,Structure19,817,PPSP_817,21,131,Oui,Oui,Pas applicable,Oui,Non,Oui,Oui,Non,Oui,Non
00000000132,00000000000000000000000132,IP132,Localite1,Structure8,866,PPSP_866,11,132,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui
00000000133,00000000000000000000000133,IP133,Localite4,Structure6,444,PPSP_444,18,133,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui
00000000134,00000000000000000000000134,IP134,Localite8,Structure6,126,PPSP_126,14,134,Oui,Non,Non,Non,Non,Oui,Oui,Non,Oui,Non
00000000135,00000000000000000000000135,IP135,Localite8,Structure16,783,PPSP_783,18,135,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui
00000000136,00000000000000000000000136,IP136,Localite5,Structure10,567,PPSP_567,7,136,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non
00000000137,00000000000000000000000137,IP137,Localite5,Structure16,569,PPSP_569,16,137,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui
00000000138,00000000000000000000000138,IP138,Localite3,Structure12,597,PPSP_597,22,138,Oui,Oui,Non,Non,Oui,Oui,Oui,Non,Oui,Oui
00000000139,00000000000000000000000139,IP139,Localite7,Structure20,191,PPSP_191,24,139,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non
00000000140,00000000000000000000000140,IP140,Localite8,Structure3,535,PPSP_535,25,140,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui
00000000141,00000000000000000000000141,IP141,Localite6,Structure10,733,PPSP_733,17,141,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui
00000000142,00000000000000000000000142,IP142,Localite2,Structure2,617,PPSP_617,10,142,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui
00000000143,00000000000000000000000143,IP143,Localite2,Structure12,245,PPSP_245,7,143,Oui,Oui,Pas applicable,Oui,Non,Oui,Oui,Non,Oui,Oui
00000000144,00000000000000000000000144,IP144,Localite6,Structure14,116,PPSP_116,17,144,Oui,Non,Oui,Oui,Oui,Parfois,Oui,Non,Non,Oui
00000000145,00000000000000000000000145,IP145,Localite7,Structure5,566,PPSP_566,17,145,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non
00000000146,00000000000000000000000146,IP146,Localite7,Structure20,220,PPSP_220,9,146,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non
00000000147,00000000000000000000000147,IP147,Localite10,Structure9,665,PPSP_665,4,147,Oui,Oui,Oui,Non,Non,Parfois,Oui,Non,Non,Oui
00000000148,00000000000000000000000148,IP148,Localite8,Structure17,115,PPSP_115,7,148,Oui,Non,Non,Oui,Non,Parfois,Oui,Non,Oui,Non
00000000149,00000000000000000000000149,IP149,Localite2,Structure20,280,PPSP_280,3,149,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Non
00000000150,00000000000000000000000150,IP150,Localite7,Structure12,645,PPSP_645,10,150,Oui,Oui,Non,Oui,Non,Oui,Non,Oui,Oui,Oui
00000000151,00000000000000000000000151,IP151,Localite6,Structure12,614,PPSP_614,2,151,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui
00000000152,00000000000000000000000152,IP152,Localite4,Structure6,884,PPSP_884,10,152,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Non
00000000153,00000000000000000000000153,IP153,Localite4,Structure4,354,PPSP_354,20,153,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Non
00000000154,00000000000000000000000154,IP154,Localite1,Structure14,717,PPSP_717,8,154,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Non
00000000155,00000000000000000000000155,IP155,Localite7,Structure13,425,PPSP_425,21,155,Oui,Oui,Oui,Non,Oui,Parfois,Oui,Non,Non,Oui
00000000156,00000000000000000000000156,IP156,Localite5,Structure5,512,PPSP_512,13,156,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui
00000000157,00000000000000000000000157,IP157,Localite10,Structure8,105,PPSP_105,7,157,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui
00000000158,00000000000000000000000158,IP158,Localite1,Structure7,423,PPSP_423,13,158,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui
00000000159,00000000000000000000000159,IP159,Localite9,Structure17,861,PPSP_861,11,159,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non
00000000160,00000000000000000000000160,IP160,Localite6,Structure1,717,PPSP_717,2,160,Oui,Oui,Pas applicable,Oui,Non,Oui,Oui,Oui,Non,Oui
00000000161,00000000000000000000000161,IP161,Localite5,Structure1,841,PPSP_841,20,161,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui
00000000162,00000000000000000000000162,IP162,Localite7,Structure4,693,PPSP_693,15,162,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui
00000000163,00000000000000000000000163,IP163,Localite5,Structure14,672,PPSP_672,17,163,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Oui
00000000164,00000000000000000000000164,IP164,Localite8,Structure1,378,PPSP_378,25,164,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui
00000000165,00000000000000000000000165,IP165,Localite8,Structure3,226,PPSP_226,2,165,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Oui
00000000166,00000000000000000000000166,IP166,Localite9,Structure9,873,PPSP_873,17,166,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Non
00000000167,00000000000000000000000167,IP167,Localite8,Structure2,586,PPSP_586,18,167,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Non,Oui
00000000168,00000000000000000000000168,IP168,Localite2,Structure16,974,PPSP_974,2,168,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non
00000000169,00000000000000000000000169,IP169,Localite4,Structure8,251,PPSP_251,4,169,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Non
00000000170,00000000000000000000000170,IP170,Localite3,Structure3,148,PPSP_148,13,170,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Oui,Non
00000000171,00000000000000000000000171,IP171,Localite4,Structure3,244,PPSP_244,22,171,Non,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Non
00000000172,00000000000000000000000172,IP172,Localite8,Structure8,680,PPSP_680,13,172,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Oui,Oui
00000000173,00000000000000000000000173,IP173,Localite8,Structure12,954,PPSP_954,6,173,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui
00000000174,00000000000000000000000174,IP174,Localite3,Structure20,344,PPSP_344,14,174,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non
00000000175,00000000000000000000000175,IP175,Localite2,Structure6,188,PPSP_188,22,175,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non
